priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
CHAUD;83;A l'Eau Piscine Renov;23 A Rue de la Ribeyre, 63800 Cournon-d'Auvergne, France;06 50 81 46 21;+33 6 50 81 46 21;https://www.facebook.com/share/3Lj2v5UmNGDhucXo/;Réseaux sociaux uniquement;4.9;33;10;pisciniste;Clermont-Ferrand;10+ photos API (excellent) / 33 avis (correct) / Réseaux sociaux uniquement / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 19:00 | mardi: 08:00 – 19:00 | mercredi: 08:00 – 19:00;https://maps.google.com/?cid=7953858864292612200;ChIJQdmtbvXj9kcRaMjA537IYW4;;;;2026-05-08
CHAUD;72;Institut de la Piscine;5 Rue Paul Langevin, 37170 Chambray-lès-Tours, France;02 47 41 41 41;+33 2 47 41 41 41;http://www.institutdelapiscine37.com/?utm_source=gmb;Oui;4.3;208;10;pisciniste;Tours;10+ photos API (excellent) / 208 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.3/5 (idéale) / Horaires renseignés;lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00;https://maps.google.com/?cid=18097170357792155675;ChIJlwRpm2nW_EcRGyjut44QJvs;;;;2026-05-08
TIÈDE;70;UCPA Aqua Stadium Agl'eau;30 Av. Pierre Brossolette, 41000 Blois, France;02 54 79 70 30;+33 2 54 79 70 30;https://www.agl-eau.fr/;Oui;4.1;930;10;pisciniste;Blois;10+ photos API (excellent) / 930 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.1/5 (idéale) / Horaires renseignés;lundi: 11:45 – 14:00, 17:15 – 21:00 | mardi: 11:45 – 14:00, 17:15 – 21:00 | mercredi: 10:00 – 21:00;https://maps.google.com/?cid=5083109034895837284;ChIJl5FxgC-o5EcRZIiLW7zUikY;;;;2026-05-08
TIÈDE;70;Piscine Tournesol;10 Rue Samuel de Champlain, 41000 Blois, France;02 54 52 01 30;+33 2 54 52 01 30;https://www.agglopolys.fr/845-piscines.htm?utm_source=gmb;Oui;4;303;10;pisciniste;Blois;10+ photos API (excellent) / 303 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.0/5 (idéale) / Horaires renseignés;lundi: 11:30 – 13:45 | mardi: 11:30 – 13:45, 17:30 – 19:45 | mercredi: 11:30 – 13:45, 15:00 – 18:15;https://maps.google.com/?cid=418514800021862726;ChIJDws0OYtX40cRRvmLRP7czgU;;;;2026-05-08
TIÈDE;70;Camping de Sologne Salbris;8 All. de la Sauldre, 41300 Salbris, France;02 54 97 06 38;+33 2 54 97 06 38;https://www.campingdesologne.fr/;Oui;4.1;592;10;pisciniste;Salbris;10+ photos API (excellent) / 592 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.1/5 (idéale) / Horaires renseignés;lundi: 07:30 – 12:00, 13:00 – 21:00 | mardi: 07:30 – 12:00, 13:00 – 21:00 | mercredi: 07:30 – 12:00, 13:00 – 21:00;https://maps.google.com/?cid=4932832803787525052;ChIJYbXkoMzU-kcRvEsmvkzxdEQ;;;;2026-05-08
TIÈDE;70;Cash Piscines;4 Rue de la Rochelle, 63370 Lempdes, France;05 36 28 30 30;+33 5 36 28 30 30;https://www.cash-piscines.com/?regionId=U1cjY3BjbGVybW9udGZlcnJhbmQ%3D&whitelabelSeller=cpclermontferrand;Oui;4.2;960;10;pisciniste;Clermont-Ferrand;10+ photos API (excellent) / 960 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.2/5 (idéale) / Horaires renseignés;lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00;https://maps.google.com/?cid=7127142950512605194;ChIJmRXd1wDi9kcRCri7lMCy6GI;;;;2026-05-08
TIÈDE;70;Centre Aquatique Les Hautes-Roches;Av. Première Armée Française Rhin et Danube, 63400 Chamalières, France;04 63 66 96 30;+33 4 63 66 96 30;https://www.clermontmetropole.eu/bouger-se-divertir/lexcellence-sportive/piscines/centre-aquatique-les-hautes-roches/;Oui;4.1;1403;10;pisciniste;Clermont-Ferrand;10+ photos API (excellent) / 1403 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.1/5 (idéale) / Horaires renseignés;lundi: 11:30 – 20:00 | mardi: 11:30 – 20:00 | mercredi: 11:30 – 20:00;https://maps.google.com/?cid=2026680075368367675;ChIJ96rXR8ob90cRO4axbco2IBw;;;;2026-05-08
TIÈDE;70;Royatonic;5 Av. Auguste Rouzaud, 63130 Royat, France;04 73 29 58 90;+33 4 73 29 58 90;http://www.royatonic.com/;Oui;4;3232;10;pisciniste;Clermont-Ferrand;10+ photos API (excellent) / 3232 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.0/5 (idéale) / Horaires renseignés;lundi: 10:00 – 19:30 | mardi: 10:00 – 19:30 | mercredi: 13:00 – 19:30;https://maps.google.com/?cid=6347518457730553221;ChIJRTVqsUka90cRhdVDHmjqFlg;;;;2026-05-08
TIÈDE;67;Irripiscine by Irrijardin Tours;98 bis Rue Georges Méliès, 37100 Tours, France;02 47 63 17 56;+33 2 47 63 17 56;https://www.irripiscine.fr/magasins/tours;Oui;4.5;94;10;pisciniste;Tours;10+ photos API (excellent) / 94 avis (très bon) / Site web existant (à vérifier) / Note 4.5/5 (idéale) / Horaires renseignés;lundi: Fermé | mardi: 09:00 – 12:00, 14:00 – 18:00 | mercredi: 09:00 – 12:00, 14:00 – 18:00;https://maps.google.com/?cid=8229154614915463998;ChIJYYXzCunU_EcRPnvNt4XUM3I;;;;2026-05-08
TIÈDE;67;APA 37;Zac, 13 Rue Amélia Earhart, 37700 La Ville-aux-Dames, France;02 47 46 47 46;+33 2 47 46 47 46;http://www.apa37.com/?utm_source=gmb;Oui;4.6;126;10;pisciniste;Tours;10+ photos API (excellent) / 126 avis (très bon) / Site web existant (à vérifier) / Note 4.6/5 (idéale) / Horaires renseignés;lundi: 08:00 – 12:00, 14:00 – 18:00 | mardi: 08:00 – 12:00, 14:00 – 18:00 | mercredi: 08:00 – 12:00, 14:00 – 18:00;https://maps.google.com/?cid=6308245254456369500;ChIJ497ULsTT_EcRXGHq66Jji1c;;;;2026-05-08
