priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
CHAUD;108;FR Plomberie;15-17, Rue du Moulin Rouge, 28630 Nogent-le-Phaye, France;02 37 27 80 18;+33 2 37 27 80 18;;Non;4.9;418;10;plombier;Chartres;10+ photos API (excellent matériel visuel pour Claude) / 418 avis Google (excellent — scraping donnera 40+ avis riches) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 12:00, 13:00 – 17:30 | mardi: 08:00 – 12:00, 13:00 – 17:30 | mercredi: 08:00 – 12:00, 13:00 – 17:30;https://maps.google.com/?cid=11483694429251998575;ChIJj3HPfdYN5EcRb5OyfD1HXp8;;;;2026-05-08
CHAUD;108;LEGENDRE ELECTRICITE - LELEC;63B Bd de Strasbourg, 94130 Nogent-sur-Marne, France;06 67 08 72 58;+33 6 67 08 72 58;;Non;5;251;10;électricien;Nogent-le-Rotrou;10+ photos API (excellent matériel visuel pour Claude) / 251 avis Google (excellent — scraping donnera 40+ avis riches) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 20:00 | mardi: 08:00 – 20:00 | mercredi: 08:00 – 20:00;https://maps.google.com/?cid=13798804041801330797;ChIJES8i0JgN5kcRbfDKtCozf78;;;;2026-05-08
CHAUD;103;SAS GAMARY Recherche de fuite, rénovation/dépannage d'urgence 24h/24;12 Rue de la Bienvenue, 45000 Orléans, France;06 70 82 55 58;+33 6 70 82 55 58;;Non;4.9;157;10;plombier;Orléans;10+ photos API (excellent matériel visuel pour Claude) / 157 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=9496000039725891469;ChIJxRiWGsjl5EcRjf_0YrmRyIM;;;;2026-05-08
CHAUD;103;JBELEC Électricité;21 Haute Rue, 41350 Vineuil, France;06 29 09 01 87;+33 6 29 09 01 87;;Non;5;72;10;électricien;Blois;10+ photos API (excellent matériel visuel pour Claude) / 72 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 07:30 – 19:00 | mardi: 07:30 – 19:00 | mercredi: 07:30 – 19:00;https://maps.google.com/?cid=13354088864713993256;ChIJq9HtnXip5EcRKOxGyBFBU7k;;;;2026-05-08
CHAUD;103;Aymeric Plomberie Chauffage;19 Rue du Vallon, 28500 Vernouillet, France;07 61 17 52 66;+33 7 61 17 52 66;;Non;4.9;117;10;plombier;Dreux;10+ photos API (excellent matériel visuel pour Claude) / 117 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=10863347531231988237;ChIJE1xhrUNV4UcRDQqz7gVdwpY;;;;2026-05-08
CHAUD;103;EIBT BOCAHUT THOMAS;Za les bois de mont, 33 rue de l industrie, 49680 Vivy, France;02 41 52 47 55;+33 2 41 52 47 55;;Non;5;65;10;plombier;Saumur;10+ photos API (excellent matériel visuel pour Claude) / 65 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 19:30 | mardi: 08:00 – 19:30 | mercredi: 08:00 – 19:30;https://maps.google.com/?cid=12687107628419271516;ChIJQ31oYsH5B0gRXEsUOyupEbA;;;;2026-05-08
CHAUD;103;Bruno Ferron Paysages;Rte de Douy, 28200 La Chapelle-du-Noyer, France;06 71 88 60 21;+33 6 71 88 60 21;;Non;4.7;92;10;paysagiste;Châteaudun;10+ photos API (excellent matériel visuel pour Claude) / 92 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 4.7/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 09:00 – 12:00, 14:00 – 18:00 | mardi: 09:00 – 12:00, 14:00 – 18:00 | mercredi: 09:00 – 12:00, 14:00 – 18:00;https://maps.google.com/?cid=9595218012429034500;ChIJSxKa_YJ_40cRBCRD1fEPKYU;;;;2026-05-08
CHAUD;100;suntech;1 Bd Pierre Favreau, 36100 Issoudun, France;02 54 49 46 01;+33 2 54 49 46 01;;Non;4.2;39;10;plombier;Issoudun;10+ photos API (excellent matériel visuel pour Claude) / 39 avis Google (bon) / Aucun site web → opportunité maximale / Note 4.2/5 (idéale : crédible + marge d'amélioration) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 09:00 – 12:00, 13:00 – 17:00 | mardi: 09:00 – 12:00, 13:00 – 17:00 | mercredi: 09:00 – 12:00, 13:00 – 17:00;https://maps.google.com/?cid=13203633314473495152;ChIJd563qTH9-kcRcMq0LYu6PLc;;;;2026-05-08
CHAUD;100;BMS-41 climatisation plomberie chauffage électricité;19 Av. de l'Hôtel de Ville, 41600 Lamotte-Beuvron, France;02 54 96 29 21;+33 2 54 96 29 21;;Non;4.2;42;10;plombier;Lamotte-Beuvron;10+ photos API (excellent matériel visuel pour Claude) / 42 avis Google (bon) / Aucun site web → opportunité maximale / Note 4.2/5 (idéale : crédible + marge d'amélioration) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 12:00, 13:30 – 17:30 | mardi: 08:00 – 12:00, 13:30 – 17:30 | mercredi: 08:00 – 12:00, 13:30 – 17:30;https://maps.google.com/?cid=10032106662297627646;ChIJS2YRouEn5UcR_msUY9szOYs;;;;2026-05-08
CHAUD;97;EXELEC;69 Rue de la Cerisaille, 45650 Saint-Jean-le-Blanc, France;06 63 86 59 78;+33 6 63 86 59 78;;Non;5;77;9;électricien;Orléans;9 photos API (bon matériel visuel) / 77 avis Google (très bon pour le scraping Maps) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente réputation) / Horaires renseignés (business sérieux) / Catégorie artisan confirmée par Google;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=5122458459101540867;ChIJl0nGrObl5EcRAzJxH9SgFkc;;;;2026-05-08
